team1,team2,winner,Venue,date,season
New Zealand,Sri Lanka,New Zealand,"Bay Oval, Mount Maunganui",2019/01/03,2019
New Zealand,Sri Lanka,New Zealand,"Bay Oval, Mount Maunganui",2019/01/04,2019
New Zealand,Sri Lanka,New Zealand,"Saxton Oval, Nelson",2019/01/05,2019
Australia,India,Australia,"Sydney Cricket Ground, Sydney",2019/01/06,2019
Australia,India,India,"Adelaide Oval, Adelaide",2019/01/07,2019
Australia,India,India,"Melbourne Cricket Ground, Melbourne",2019/01/08,2019
South Africa,Pakistan,Pakistan,"St George's Park, Gqeberha",2019/01/09,2019
South Africa,Pakistan,South Africa,"Kingsmead, Durban",2019/01/10,2019
New Zealand,India,India,"McLean Park, Napier",2019/01/11,2019
U.A.E.,Nepal,U.A.E.,"ICCA, Dubai",2019/01/12,2019
South Africa,Pakistan,South Africa,"SuperSport Park, Centurion",2019/01/13,2019
New Zealand,India,India,"Bay Oval, Mount Maunganui",2019/01/14,2019
U.A.E.,Nepal,Nepal,"ICCA, Dubai",2019/01/15,2019
South Africa,Pakistan,Pakistan,"The Wanderers Stadium, Johannesburg",2019/01/16,2019
New Zealand,India,India,"Bay Oval, Mount Maunganui",2019/01/17,2019
U.A.E.,Nepal,Nepal,"ICCA, Dubai",2019/01/18,2019
South Africa,Pakistan,South Africa,"Newlands, Cape Town",2019/01/19,2019
New Zealand,India,New Zealand,"Seddon Park, Hamilton",2019/01/20,2019
New Zealand,India,India,"Sky Stadium, Wellington",2019/01/21,2019
New Zealand,Bangladesh,New Zealand,"McLean Park, Napier",2019/02/13,2019
New Zealand,Bangladesh,New Zealand,"Hagley Oval, Christchurch",2019/02/16,2019
New Zealand,Bangladesh,New Zealand,"University Oval, Dunedin",2019/02/20,2019
West Indies,England,England,"Kensington Oval, Bridgetown",2019/02/20,2019
West Indies,England,West Indies,"Kensington Oval, Bridgetown",2019/02/22,2019
West Indies,England,no result,"St George's Park, Gqeberha",2019/02/25,2019
West Indies,England,England,"St George's Park, Gqeberha",2019/02/27,2019
Afghanistan,Ireland,Afghanistan,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/02/28,2019
Afghanistan,Ireland,no result,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/03/02,2019
India,Australia,India,"Rajiv Gandhi International Cricket Stadium, Hyderabad",2019/03/02,2019
West Indies,England,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet",2019/03/02,2019
South Africa,Sri Lanka,South Africa,"The Wanderers Stadium, Johannesburg",2019/03/03,2019
Afghanistan,Ireland,Ireland,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/03/05,2019
India,Australia,India,"Vidarbha Cricket Association Stadium, Nagpur",2019/03/05,2019
South Africa,Sri Lanka,South Africa,"SuperSport Park, Centurion",2019/03/06,2019
Afghanistan,Ireland,Afghanistan,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/03/08,2019
India,Australia,Australia,"JSCA International Stadium, Ranchi",2019/03/08,2019
Afghanistan,Ireland,Ireland,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/03/10,2019
India,Australia,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019/03/10,2019
South Africa,Sri Lanka,South Africa,"Kingsmead, Durban",2019/03/10,2019
India,Australia,Australia,"Arun Jaitley Stadium, Delhi",2019/03/13,2019
South Africa,Sri Lanka,South Africa,"St George's Park, Gqeberha",2019/03/13,2019
South Africa,Sri Lanka,South Africa,"Newlands, Cape Town",2019/03/16,2019
Australia,Pakistan,Australia,"Sharjah Cricket Stadium, Sharjah",2019/03/22,2019
Australia,Pakistan,Australia,"Sharjah Cricket Stadium, Sharjah",2019/03/24,2019
Australia,Pakistan,Australia,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2019/03/27,2019
Australia,Pakistan,Australia,"DSC, Dubai",2019/03/29,2019
Australia,Pakistan,Australia,"DSC, Dubai",2019/03/31,2019
Zimbabwe,U.A.E.,Zimbabwe,"Harare Sports Club, Harare",2019/04/01,2019
Zimbabwe,U.A.E.,Zimbabwe,"Harare Sports Club, Harare",2019/04/02,2019
Zimbabwe,U.A.E.,Zimbabwe,"Harare Sports Club, Harare",2019/04/03,2019
Zimbabwe,U.A.E.,Zimbabwe,"Harare Sports Club, Harare",2019/04/04,2019
Namibia,Oman,Namibia,"Wanderers Cricket Ground, Windhoek",2019/04/05,2019
P.N.G.,U.S.A.,P.N.G.,"Wanderers Cricket Ground, Windhoek",2019/04/06,2019
Ireland,England,England,"Malahide, Dublin",2019/04/07,2019
Ireland,West Indies,West Indies,"Malahide, Dublin",2019/04/08,2019
Bangladesh,West Indies,Bangladesh,"Malahide, Dublin",2019/04/09,2019
England,Pakistan,no result,"The Oval, Surrey",2019/04/10,2019
Scotland,Afghanistan,Afghanistan,"Grange Cricket Club, Edinburgh",2019/05/10,2019
Ireland,West Indies,West Indies,"Malahide, Dublin",2019/05/11,2019
England,Pakistan,England,"County Ground, Southampton",2019/05/11,2019
Bangladesh,West Indies,Bangladesh,"Malahide, Dublin",2019/05/13,2019
England,Pakistan,England,"County Ground, Bristol",2019/05/14,2019
Ireland,Bangladesh,Bangladesh,"Malahide, Dublin",2019/05/15,2019
Bangladesh,West Indies,Bangladesh,"Malahide, Dublin",2019/05/17,2019
England,Pakistan,England,"Trent Bridge, Nottingham",2019/05/17,2019
Ireland,Afghanistan,Ireland,"Stormont, Belfast",2019/05/19,2019
England,Pakistan,England,"Headingley, Leeds",2019/05/19,2019
Ireland,Afghanistan,Afghanistan,"Stormont, Belfast",2019/05/21,2019
Scotland,Sri Lanka,Sri Lanka,"Grange Cricket Club, Edinburgh",2019/05/21,2019
England,South Africa,England,"The Oval, Surrey",2019/05/30,2019
Pakistan,West Indies,West Indies,"Trent Bridge, Nottingham",2019/05/31,2019
New Zealand,Sri Lanka,New Zealand,"Sophia Gardens, Cardiff",2019/06/01,2019
Afghanistan,Australia,Australia,"County Ground, Bristol",2019/06/01,2019
Bangladesh,South Africa,Bangladesh,"The Oval, Surrey",2019/06/02,2019
England,Pakistan,Pakistan,"Trent Bridge, Nottingham",2019/06/03,2019
Afghanistan,Sri Lanka,Sri Lanka,"Sophia Gardens, Cardiff",2019/06/04,2019
India,South Africa,India,"County Ground, Southampton",2019/06/05,2019
Bangladesh,New Zealand,New Zealand,"The Oval, Surrey",2019/06/05,2019
Australia,West Indies,Australia,"Trent Bridge, Nottingham",2019/06/06,2019
England,Bangladesh,England,"Sophia Gardens, Cardiff",2019/06/08,2019
Afghanistan,New Zealand,New Zealand,"The Cooper Associates County Ground, Taunton",2019/06/08,2019
Australia,India,India,"The Oval, Surrey",2019/06/09,2019
South Africa,West Indies,no result,"County Ground, Southampton",2019/06/10,2019
Australia,Pakistan,Australia,"The Cooper Associates County Ground, Taunton",2019/06/12,2019
England,West Indies,England,"County Ground, Southampton",2019/06/14,2019
Australia,Sri Lanka,Australia,"The Oval, Surrey",2019/06/15,2019
Afghanistan,South Africa,South Africa,"Sophia Gardens, Cardiff",2019/06/15,2019
India,Pakistan,India,"Emirates Old Trafford, Manchester",2019/06/16,2019
Bangladesh,West Indies,Bangladesh,"The Cooper Associates County Ground, Taunton",2019/06/17,2019
England,Afghanistan,England,"Emirates Old Trafford, Manchester",2019/06/18,2019
Netherlands,Zimbabwe,Netherlands,"Sportpark Het, Deventer",2019/06/19,2019
New Zealand,South Africa,New Zealand,"Edgbaston, Birmingham",2019/06/19,2019
Australia,Bangladesh,Australia,"Trent Bridge, Nottingham",2019/06/20,2019
Netherlands,Zimbabwe,Netherlands,"Sportpark Het, Deventer",2019/06/21,2019
England,Sri Lanka,Sri Lanka,"Headingley, Leeds",2019/06/21,2019
Afghanistan,India,India,"County Ground, Southampton",2019/06/22,2019
New Zealand,West Indies,New Zealand,"Emirates Old Trafford, Manchester",2019/06/22,2019
Pakistan,South Africa,Pakistan,"Lord's, London",2019/06/23,2019
Afghanistan,Bangladesh,Bangladesh,"County Ground, Southampton",2019/06/24,2019
England,Australia,Australia,"Lord's, London",2019/06/25,2019
New Zealand,Pakistan,Pakistan,"Edgbaston, Birmingham",2019/06/26,2019
India,West Indies,India,"Emirates Old Trafford, Manchester",2019/06/27,2019
South Africa,Sri Lanka,South Africa,"Riverside Ground, Chester-le-Street",2019/06/28,2019
Afghanistan,Pakistan,Pakistan,"Headingley, Leeds",2019/06/29,2019
Australia,New Zealand,Australia,"Lord's, London",2019/06/29,2019
England,India,England,"Edgbaston, Birmingham",2019/06/30,2019
Sri Lanka,West Indies,Sri Lanka,"Riverside Ground, Chester-le-Street",2019/07/01,2019
Ireland,Zimbabwe,Ireland,"Bready Cricket Club, Bready",2019/07/01,2019
Bangladesh,India,India,"Edgbaston, Birmingham",2019/07/02,2019
England,New Zealand,England,"Riverside Ground, Chester-le-Street",2019/07/03,2019
Afghanistan,West Indies,West Indies,"Headingley, Leeds",2019/07/04,2019
Ireland,Zimbabwe,Ireland,"Stormont, Belfast",2019/07/04,2019
Bangladesh,Pakistan,Pakistan,"Lord's, London",2019/07/05,2019
India,Sri Lanka,India,"Headingley, Leeds",2019/07/06,2019
Australia,South Africa,South Africa,"Emirates Old Trafford, Manchester",2019/07/06,2019
Ireland,Zimbabwe,Ireland,"Stormont, Belfast",2019/07/07,2019
India,New Zealand,New Zealand,"Emirates Old Trafford, Manchester",2019/07/09,2019
England,Australia,England,"Edgbaston, Birmingham",2019/07/11,2019
England,New Zealand,tied,"Lord's, London",2019/07/14,2019
Sri Lanka,Bangladesh,Sri Lanka,"R.Premadasa Stadium, Colombo",2019/07/26,2019
Sri Lanka,Bangladesh,Sri Lanka,"R.Premadasa Stadium, Colombo",2019/07/28,2019
Sri Lanka,Bangladesh,Sri Lanka,"R.Premadasa Stadium, Colombo",2019/07/31,2019
West Indies,India,no result,"Providence Stadium, Providence",2019/08/08,2019
West Indies,India,India,"Port of spain, spain",2019/08/11,2019
Oman,P.N.G.,Oman,"Mannofield Park, Aberdeen",2019/08/14,2019
West Indies,India,India,"Port of spain, spain",2019/08/14,2019
Scotland,Oman,Oman,"Mannofield Park, Aberdeen",2019/08/15,2019
Scotland,P.N.G.,Scotland,"Mannofield Park, Aberdeen",2019/08/17,2019
Scotland,Oman,Scotland,"Mannofield Park, Aberdeen",2019/08/18,2019
Scotland,P.N.G.,Scotland,"Mannofield Park, Aberdeen",2019/08/20,2019
Oman,P.N.G.,Oman,"Mannofield Park, Aberdeen",2019/08/21,2019
U.S.A.,P.N.G.,U.S.A.,"Central Broward, Lauderhill",2019/09/13,2019
U.S.A.,Namibia,U.S.A.,"Central Broward, Lauderhill",2019/09/17,2019
U.S.A.,P.N.G.,U.S.A.,"Central Broward, Lauderhill",2019/09/19,2019
U.S.A.,Namibia,Namibia,"Central Broward, Lauderhill",2019/09/20,2019
Namibia,P.N.G.,Namibia,"Central Broward, Lauderhill",2019/09/22,2019
Namibia,P.N.G.,Namibia,"Central Broward, Lauderhill",2019/09/23,2019
Pakistan,Sri Lanka,Pakistan,"National Stadium, Karachi",2019/09/30,2019
Pakistan,Sri Lanka,Pakistan,"National Stadium, Karachi",2019/10/02,2019
Afghanistan,West Indies,West Indies,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2019/11/06,2019
Afghanistan,West Indies,West Indies,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2019/11/09,2019
Afghanistan,West Indies,West Indies,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2019/11/11,2019
U.A.E.,U.S.A.,U.S.A.,"Sharjah Cricket Stadium, Sharjah",2019/12/08,2019
Scotland,U.S.A.,U.S.A.,"Sharjah Cricket Stadium, Sharjah",2019/12/09,2019
U.A.E.,U.S.A.,U.S.A.,"ICCA, Dubai",2019/12/12,2019
Scotland,U.S.A.,Scotland,"ICCA, Dubai",2019/12/14,2019
U.A.E.,Scotland,U.A.E.,"ICCA, Dubai",2019/12/15,2019
India,West Indies,West Indies,"MA Chidambaram Stadium, Chennai",2019/12/15,2019
India,West Indies,India,"ACA-VDCA, Visakhapatnam",2019/12/18,2019
India,West Indies,India,"Barabati Stadium, Cuttack",2019/12/22,2019
Oman,U.A.E.,Oman,"Al Amerat Cricket Stadium,  Al Amerat",2020/01/05,2020
Namibia,U.A.E.,U.A.E.,"Al Amerat Cricket Stadium,  Al Amerat",2020/01/06,2020
West Indies,Ireland,West Indies,"Kensington Oval, Bridgetown",2020/01/07,2020
Oman,Namibia,Namibia,"Al Amerat Cricket Stadium,  Al Amerat",2020/01/08,2020
Namibia,U.A.E.,U.A.E.,"Al Amerat Cricket Stadium,  Al Amerat",2020/01/09,2020
West Indies,Ireland,West Indies,"Kensington Oval, Bridgetown",2020/01/09,2020
West Indies,Ireland,West Indies,"St George's Park, Gqeberha",2020/01/12,2020
India,Australia,Australia,"Wankhede Stadium, Mumbai",2020/01/14,2020
India,Australia,India,"Saurashtra Cricket Association Stadium, Rajkot",2020/01/17,2020
India,Australia,India,"M.Chinnaswamy Stadium, Bengaluru",2020/01/19,2020
South Africa,England,South Africa,"Newlands, Cape Town",2020/02/04,2020
New Zealand,India,New Zealand,"Seddon Park, Hamilton",2020/02/05,2020
Nepal,Oman,Oman,"TU, Kirtipur",2020/02/05,2020
Oman,U.S.A.,Oman,"TU, Kirtipur",2020/02/06,2020
South Africa,England,no result,"Kingsmead, Durban",2020/02/07,2020
New Zealand,India,New Zealand,"Eden Park, Auckland",2020/02/08,2020
Nepal,U.S.A.,Nepal,"TU, Kirtipur",2020/02/08,2020
Nepal,Oman,Oman,"TU, Kirtipur",2020/02/09,2020
South Africa,England,England,"The Wanderers Stadium, Johannesburg",2020/02/09,2020
New Zealand,India,New Zealand,"Bay Oval, Mount Maunganui",2020/02/11,2020
Oman,U.S.A.,Oman,"TU, Kirtipur",2020/02/11,2020
Nepal,U.S.A.,Nepal,"TU, Kirtipur",2020/02/12,2020
Sri Lanka,West Indies,Sri Lanka,"R.Premadasa Stadium, Colombo",2020/02/22,2020
Sri Lanka,West Indies,Sri Lanka,"Mahinda Rajapaksa International Stadium, Hambantota",2020/02/26,2020
South Africa,Australia,South Africa,"Boland Park, Paarl",2020/02/29,2020
Bangladesh,Zimbabwe,Bangladesh,"Sylhet Stadium, Sylhet",2020/03/01,2020
Sri Lanka,West Indies,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele",2020/03/01,2020
Bangladesh,Zimbabwe,Bangladesh,"Sylhet Stadium, Sylhet",2020/03/03,2020
South Africa,Australia,South Africa,"Mangaung Oval, Bloemfontein",2020/03/04,2020
Bangladesh,Zimbabwe,Bangladesh,"Sylhet Stadium, Sylhet",2020/03/06,2020
South Africa,Australia,South Africa,"Senwes Park, Potchefstroom",2020/03/07,2020
Australia,New Zealand,Australia,"Sydney Cricket Ground, Sydney",2020/03/13,2020
England,Ireland,England,"County Ground, Southampton",2020/07/30,2020
England,Ireland,England,"County Ground, Southampton",2020/08/01,2020
England,Ireland,Ireland,"County Ground, Southampton",2020/08/04,2020
England,Australia,Australia,"Emirates Old Trafford, Manchester",2020/09/11,2020
England,Australia,England,"Emirates Old Trafford, Manchester",2020/09/13,2020
England,Australia,Australia,"Emirates Old Trafford, Manchester",2020/09/16,2020
Pakistan,Zimbabwe,Pakistan,"Rawalpindi Stadium, Rawalpindi",2020/10/30,2020
Pakistan,Zimbabwe,Pakistan,"Rawalpindi Stadium, Rawalpindi",2020/11/01,2020
Pakistan,Zimbabwe,tied,"Rawalpindi Stadium, Rawalpindi",2020/11/03,2020
Australia,India,Australia,"Sydney Cricket Ground, Sydney",2020/11/27,2020
Australia,India,Australia,"Sydney Cricket Ground, Sydney",2020/11/29,2020
Australia,India,India,"Manuka Oval, Canberra",2020/12/02,2020
U.A.E.,Ireland,U.A.E.,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2021/01/08,2021
U.A.E.,Ireland,Ireland,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2021/01/18,2021
Bangladesh,West Indies,Bangladesh,"Mirpur Stadium, Mirpur",2021/01/20,2021
Afghanistan,Ireland,Afghanistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2021/01/21,2021
Bangladesh,West Indies,Bangladesh,"Mirpur Stadium, Mirpur",2021/01/22,2021
Afghanistan,Ireland,Afghanistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2021/01/24,2021
Bangladesh,West Indies,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",2021/01/25,2021
Afghanistan,Ireland,Afghanistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2021/01/26,2021
West Indies,Sri Lanka,West Indies,"SVR, North Sound",2021/03/10,2021
West Indies,Sri Lanka,West Indies,"SVR, North Sound",2021/03/12,2021
West Indies,Sri Lanka,West Indies,"SVR, North Sound",2021/03/14,2021
New Zealand,Bangladesh,New Zealand,"University Oval, Dunedin",2021/03/20,2021
New Zealand,Bangladesh,New Zealand,"Hagley Oval, Christchurch",2021/03/23,2021
India,England,India,"Maharashtra Cricket Association Stadium, Pune",2021/03/23,2021
New Zealand,Bangladesh,New Zealand,"Sky Stadium, Wellington",2021/03/26,2021
India,England,England,"Maharashtra Cricket Association Stadium, Pune",2021/03/26,2021
India,England,India,"Maharashtra Cricket Association Stadium, Pune",2021/03/28,2021
South Africa,Pakistan,Pakistan,"SuperSport Park, Centurion",2021/04/02,2021
South Africa,Pakistan,South Africa,"The Wanderers Stadium, Johannesburg",2021/04/04,2021
South Africa,Pakistan,Pakistan,"SuperSport Park, Centurion",2021/04/07,2021
Netherlands,Scotland,Netherlands,"Hazelaarweg Stadion , Rotterdam",2021/05/19,2021
Netherlands,Scotland,Scotland,"Hazelaarweg Stadion , Rotterdam",2021/05/20,2021
Bangladesh,Sri Lanka,Bangladesh,"Mirpur Stadium, Mirpur",2021/05/23,2021
Bangladesh,Sri Lanka,Bangladesh,"Mirpur Stadium, Mirpur",2021/05/25,2021
Bangladesh,Sri Lanka,Sri Lanka,"Mirpur Stadium, Mirpur",2021/05/28,2021
Netherlands,Ireland,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",2021/06/02,2021
Netherlands,Ireland,Ireland,"Sportpark Maarschalkerweerd, Utrecht",2021/06/04,2021
Netherlands,Ireland,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",2021/06/07,2021
England,Sri Lanka,England,"Riverside Ground, Chester-le-Street",2021/06/29,2021
England,Sri Lanka,England,"The Oval, Surrey",2021/07/01,2021
England,Sri Lanka,no result,"County Ground, Bristol",2021/07/04,2021
England,Pakistan,England,"Sophia Gardens, Cardiff",2021/07/08,2021
England,Pakistan,England,"Lord's, London",2021/07/10,2021
Ireland,South Africa,no result,"Malahide, Dublin",2021/07/11,2021
Ireland,South Africa,Ireland,"Malahide, Dublin",2021/07/13,2021
England,Pakistan,England,"Edgbaston, Birmingham",2021/07/13,2021
Zimbabwe,Bangladesh,Bangladesh,"Harare Sports Club, Harare",2021/07/16,2021
Ireland,South Africa,South Africa,"Malahide, Dublin",2021/07/16,2021
Zimbabwe,Bangladesh,Bangladesh,"Harare Sports Club, Harare",2021/07/18,2021
Sri Lanka,India,India,"R.Premadasa Stadium, Colombo",2021/07/18,2021
Zimbabwe,Bangladesh,Bangladesh,"Harare Sports Club, Harare",2021/07/20,2021
Sri Lanka,India,India,"R.Premadasa Stadium, Colombo",2021/07/20,2021
West Indies,Australia,Australia,"Kensington Oval, Bridgetown",2021/07/20,2021
West Indies,Australia,West Indies,"Kensington Oval, Bridgetown",2021/07/24,2021
Sri Lanka,India,Sri Lanka,"R.Premadasa Stadium, Colombo",2021/07/23,2021
West Indies,Australia,Australia,"Kensington Oval, Bridgetown",2021/07/26,2021
Sri Lanka,South Africa,Sri Lanka,"R.Premadasa Stadium, Colombo",2021/09/02,2021
Sri Lanka,South Africa,South Africa,"R.Premadasa Stadium, Colombo",2021/09/04,2021
P.N.G.,U.S.A.,U.S.A.,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/06,2021
Nepal,P.N.G.,Nepal,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/07,2021
Sri Lanka,South Africa,Sri Lanka,"R.Premadasa Stadium, Colombo",2021/09/07,2021
Ireland,Zimbabwe,Zimbabwe,"Stormont, Belfast",2021/09/08,2021
P.N.G.,U.S.A.,U.S.A.,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/09,2021
Ireland,Zimbabwe,no result,"Stormont, Belfast",2021/09/10,2021
Nepal,P.N.G.,Nepal,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/10,2021
Ireland,Zimbabwe,Ireland,"Stormont, Belfast",2021/09/13,2021
Nepal,U.S.A.,Nepal,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/13,2021
Oman,Nepal,Oman,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/14,2021
Oman,U.S.A.,Oman,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/16,2021
Nepal,U.S.A.,U.S.A.,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/17,2021
Oman,Nepal,Nepal,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/19,2021
Oman,U.S.A.,Oman,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/20,2021
P.N.G.,Scotland,Scotland,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/25,2021
Oman,P.N.G.,Oman,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/26,2021
Oman,Scotland,Scotland,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/28,2021
P.N.G.,Scotland,Scotland,"Al Amerat Cricket Stadium,  Al Amerat",2021/09/29,2021
Oman,P.N.G.,Oman,"Al Amerat Cricket Stadium,  Al Amerat",2021/10/01,2021
Oman,Scotland,no result,"Al Amerat Cricket Stadium,  Al Amerat",2021/10/02,2021
Namibia,Oman,Namibia,"Wanderers Cricket Ground, Windhoek",2021/11/26,2021
South Africa,Netherlands,no result,"SuperSport Park, Centurion",2021/11/26,2021
Namibia,Oman,Oman,"Wanderers Cricket Ground, Windhoek",2021/11/27,2021
West Indies,Ireland,West Indies,"Sabina Park, Kingston",2022/01/08,2022
West Indies,Ireland,Ireland,"Sabina Park, Kingston",2022/01/13,2022
Sri Lanka,Zimbabwe,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele",2022/01/16,2022
West Indies,Ireland,Ireland,"Sabina Park, Kingston",2022/01/16,2022
Sri Lanka,Zimbabwe,Zimbabwe,"Pallekele International Cricket Stadium, Pallekele",2022/01/18,2022
South Africa,India,South Africa,"Boland Park, Paarl",2022/01/19,2022
Afghanistan,Netherlands,Afghanistan,"West End Park, Doha",2022/01/21,2022
South Africa,India,South Africa,"Boland Park, Paarl",2022/01/21,2022
Sri Lanka,Zimbabwe,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele",2022/01/21,2022
Afghanistan,Netherlands,Afghanistan,"West End Park, Doha",2022/01/23,2022
South Africa,India,South Africa,"Newlands, Cape Town",2022/01/23,2022
Afghanistan,Netherlands,Afghanistan,"West End Park, Doha",2022/01/25,2022
Oman,U.A.E.,U.A.E.,"Al Amerat Cricket Stadium,  Al Amerat",2022/02/05,2022
Oman,U.A.E.,U.A.E.,"Al Amerat Cricket Stadium,  Al Amerat",2022/02/06,2022
India,West Indies,India,"Narendra Modi Stadium A Ground, Ahmedabad",2022/02/06,2022
Oman,U.A.E.,tied,"Al Amerat Cricket Stadium,  Al Amerat",2022/02/08,2022
India,West Indies,India,"Narendra Modi Stadium A Ground, Ahmedabad",2022/02/09,2022
India,West Indies,India,"Narendra Modi Stadium A Ground, Ahmedabad",2022/02/11,2022
Bangladesh,Afghanistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",2022/02/23,2022
Bangladesh,Afghanistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",2022/02/25,2022
Bangladesh,Afghanistan,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram",2022/02/28,2022
U.A.E.,Oman,Oman,"ICCA, Dubai",2022/03/05,2022
Namibia,Oman,Namibia,"ICCA, Dubai",2022/03/06,2022
U.A.E.,Namibia,U.A.E.,"ICCA, Dubai",2022/03/08,2022
U.A.E.,Oman,Oman,"ICCA, Dubai",2022/03/09,2022
Namibia,Oman,Oman,"Sharjah Cricket Stadium, Sharjah",2022/03/11,2022
U.A.E.,Namibia,U.A.E.,"Sharjah Cricket Stadium, Sharjah",2022/03/12,2022
Namibia,Oman,Namibia,"DSC, Dubai",2022/03/14,2022
U.A.E.,P.N.G.,U.A.E.,"Sharjah Cricket Stadium, Sharjah",2022/03/15,2022
Nepal,P.N.G.,Nepal,"Sharjah Cricket Stadium, Sharjah",2022/03/16,2022
U.A.E.,Nepal,U.A.E.,"DSC, Dubai",2022/03/18,2022
South Africa,Bangladesh,Bangladesh,"SuperSport Park, Centurion",2022/03/18,2022
U.A.E.,P.N.G.,P.N.G.,"DSC, Dubai",2022/03/19,2022
South Africa,Bangladesh,South Africa,"The Wanderers Stadium, Johannesburg",2022/03/20,2022
U.A.E.,Nepal,U.A.E.,"DSC, Dubai",2022/03/21,2022
Nepal,P.N.G.,Nepal,"DSC, Dubai",2022/03/22,2022
South Africa,Bangladesh,Bangladesh,"SuperSport Park, Centurion",2022/03/23,2022
Nepal,P.N.G.,P.N.G.,"TU, Kirtipur",2022/03/25,2022
Nepal,P.N.G.,P.N.G.,"TU, Kirtipur",2022/03/26,2022
New Zealand,Netherlands,New Zealand,"Bay Oval, Mount Maunganui",2022/03/29,2022
Pakistan,Australia,Australia,"Gaddafi Stadium, Lahore",2022/03/29,2022
Pakistan,Australia,Pakistan,"Gaddafi Stadium, Lahore",2022/03/31,2022
New Zealand,Netherlands,New Zealand,"Seddon Park, Hamilton",2022/04/02,2022
Pakistan,Australia,Pakistan,"Gaddafi Stadium, Lahore",2022/04/02,2022
New Zealand,Netherlands,New Zealand,"Seddon Park, Hamilton",2022/04/04,2022
P.N.G.,Scotland,Scotland,"DSC, Dubai",2022/04/09,2022
Oman,Scotland,Scotland,"DSC, Dubai",2022/04/10,2022
Oman,P.N.G.,Oman,"DSC, Dubai",2022/04/12,2022
P.N.G.,Scotland,Scotland,"DSC, Dubai",2022/04/13,2022
Oman,Scotland,Scotland,"DSC, Dubai",2022/04/15,2022
Oman,P.N.G.,Oman,"DSC, Dubai",2022/04/16,2022
U.S.A.,Scotland,U.S.A.,"Pearland Stadium, Pearland",2022/05/28,2022
U.S.A.,Scotland,Scotland,"Pearland Stadium, Pearland",2022/05/29,2022
Netherlands,West Indies,West Indies,"VRA Cricket Ground, Amstelveenbb",2022/05/31,2022
Scotland,U.A.E.,Scotland,"Pearland Stadium, Pearland",2022/05/31,2022
U.S.A.,U.A.E.,U.S.A.,"Pearland Stadium, Pearland",2022/06/01,2022
Netherlands,West Indies,West Indies,"VRA Cricket Ground, Amstelveenbb",2022/06/02,2022
Scotland,U.A.E.,U.A.E.,"Pearland Stadium, Pearland",2022/06/03,2022
Zimbabwe,Afghanistan,Afghanistan,"Harare Sports Club, Harare",2022/06/04,2022
Netherlands,West Indies,West Indies,"VRA Cricket Ground, Amstelveenbb",2022/06/04,2022
U.S.A.,U.A.E.,U.A.E.,"Pearland Stadium, Pearland",2022/06/04,2022
Zimbabwe,Afghanistan,Afghanistan,"Harare Sports Club, Harare",2022/06/06,2022
Pakistan,West Indies,Pakistan,"Multan Stadium, Multan",2022/06/08,2022
U.S.A.,Oman,U.S.A.,"Pearland Stadium, Pearland",2022/06/08,2022
Zimbabwe,Afghanistan,Afghanistan,"Harare Sports Club, Harare",2022/06/09,2022
Nepal,Oman,Oman,"Pearland Stadium, Pearland",2022/06/09,2022
